Day, Total Cases, Active Cases, New Cases, Population
0, 142, 135, 42, 8000000000
1, 200, 186, 58, 8000000000
2, 282, 261, 82, 8000000000
3, 399, 371, 117, 8000000000
4, 566, 531, 167, 8000000000
5, 807, 765, 241, 8000000000
6, 1156, 1107, 349, 8000000000
7, 1661, 1602, 505, 8000000000
8, 2392, 2319, 731, 8000000000
9, 3451, 3359, 1059, 8000000000
10, 4986, 4867, 1535, 8000000000
11, 7211, 7054, 2225, 8000000000
12, 10436, 10224, 3225, 8000000000
13, 15111, 14820, 4675, 8000000000
14, 21891, 21492, 6780, 8000000000
15, 31721, 31162, 9830, 8000000000
16, 45973, 45179, 14252, 8000000000
17, 66635, 65497, 20662, 8000000000
18, 96588, 94948, 29953, 8000000000
19, 140007, 137635, 43419, 8000000000
20, 202945, 199508, 62938, 8000000000
21, 294174, 289191, 91229, 8000000000
22, 426410, 419183, 132236, 8000000000
23, 618082, 607598, 191672, 8000000000
24, 895899, 880691, 277817, 8000000000
25, 1298568, 1276508, 402669, 8000000000
26, 1882182, 1850186, 583614, 8000000000
27, 2728014, 2681611, 845832, 8000000000
28, 3953809, 3886519, 1225795, 8000000000
29, 5730105, 5632535, 1776296, 8000000000
30, 8303824, 8162359, 2573719, 8000000000
31, 12032307, 11827212, 3728483, 8000000000
32, 17432321, 17134992, 5400014, 8000000000
33, 25250419, 24819400, 7818098, 8000000000
34, 36563494, 35938702, 11313075, 8000000000
35, 52921565, 52015928, 16358071, 8000000000
36, 76548560, 75235902, 23626995, 8000000000
37, 110620560, 108718062, 34072000, 8000000000
38, 159642804, 156885621, 49022244, 8000000000
39, 229942580, 225947136, 70299776, 8000000000
40, 330276127, 324487088, 100333547, 8000000000
41, 472497029, 464110814, 142220902, 8000000000
42, 672123000, 659977692, 199625971, 8000000000
43, 948429413, 930846815, 276306413, 8000000000
44, 1323366978, 1297927066, 374937565, 8000000000
45, 1818216712, 1781437742, 494849734, 8000000000
46, 2446797223, 2393686545, 628580511, 8000000000
47, 3205043575, 3128476194, 758246352, 8000000000
48, 4059934303, 3949812000, 854890728, 8000000000
49, 4945613809, 4787765143, 885679506, 8000000000
50, 5776194437, 5551010114, 830580628, 8000000000
51, 6475284667, 6156167270, 699090230, 8000000000
52, 7004676698, 6556546138, 529392031, 8000000000
53, 7370664590, 6749007975, 365987892, 8000000000
54, 7607110225, 6758325537, 236445635, 8000000000
55, 7753568718, 6617400410, 146458493, 8000000000
56, 7842549410, 6356903094, 88980692, 8000000000
57, 7896515622, 6003751753, 53966212, 8000000000
58, 7929596441, 5582213717, 33080819, 8000000000
59, 7950253511, 5113939804, 20657070, 8000000000
60, 7963447117, 4617081847, 13193606, 8000000000
61, 7972074847, 4105935722, 8627730, 8000000000
62, 7977843376, 3591627711, 5768529, 8000000000
63, 7981773929, 3083384958, 3930553, 8000000000
64, 7984490252, 2589809418, 2716323, 8000000000
65, 7986382568, 2119828210, 1892316, 8000000000
66, 7987701895, 1683144917, 1319327, 8000000000
67, 7988615168, 1290011777, 913273, 8000000000
68, 7989237901, 950132284, 622733, 8000000000
69, 7989653458, 670697201, 415557, 8000000000
70, 7989923955, 454099126, 270497, 8000000000
71, 7990095979, 296535742, 172024, 8000000000
72, 7990203583, 188707789, 107604, 8000000000
73, 7990270453, 118558581, 66870, 8000000000
74, 7990312164, 74460973, 41711, 8000000000
75, 7990338486, 47192469, 26322, 8000000000
76, 7990355366, 30346161, 16880, 8000000000
77, 7990366377, 19830426, 11011, 8000000000
78, 7990373672, 13153417, 7295, 8000000000
79, 7990378565, 8829235, 4893, 8000000000
80, 7990381874, 5974198, 3309, 8000000000
81, 7990384120, 4057519, 2246, 8000000000
82, 7990385644, 2754504, 1524, 8000000000
83, 7990386674, 1861827, 1030, 8000000000
84, 7990387365, 1248778, 691, 8000000000
85, 7990387823, 828998, 458, 8000000000
86, 7990388123, 543876, 300, 8000000000
87, 7990388318, 352650, 195, 8000000000
88, 7990388443, 226427, 125, 8000000000
89, 7990388522, 144530, 79, 8000000000
90, 7990388573, 92214, 51, 8000000000
91, 7990388605, 59151, 32, 8000000000
92, 7990388626, 38332, 21, 8000000000
93, 7990388639, 25170, 13, 8000000000
94, 7990388648, 16767, 9, 8000000000
95, 7990388654, 11332, 6, 8000000000
96, 7990388658, 7770, 4, 8000000000
97, 7990388660, 5408, 2, 8000000000
98, 7990388662, 3830, 2, 8000000000
99, 7990388663, 2771, 1, 8000000000
100, 7990388664, 2061, 1, 8000000000
101, 7990388664, 1586, 0, 8000000000
102, 7990388664, 1271, 0, 8000000000
103, 7990388664, 1064, 0, 8000000000
104, 7990388664, 930, 0, 8000000000
105, 7990388664, 845, 0, 8000000000
106, 7990388664, 792, 0, 8000000000
107, 7990388664, 760, 0, 8000000000
108, 7990388664, 741, 0, 8000000000
109, 7990388664, 730, 0, 8000000000
110, 7990388664, 724, 0, 8000000000
111, 7990388664, 721, 0, 8000000000
112, 7990388664, 720, 0, 8000000000
113, 7990388664, 720, 0, 8000000000
114, 7990388664, 720, 0, 8000000000
115, 7990388664, 720, 0, 8000000000
116, 7990388664, 720, 0, 8000000000
117, 7990388664, 720, 0, 8000000000
118, 7990388664, 720, 0, 8000000000
119, 7990388664, 720, 0, 8000000000
120, 7990388664, 720, 0, 8000000000
121, 7990388664, 720, 0, 8000000000
122, 7990388664, 720, 0, 8000000000
123, 7990388664, 720, 0, 8000000000
124, 7990388664, 720, 0, 8000000000
125, 7990388664, 720, 0, 8000000000
126, 7990388664, 720, 0, 8000000000
127, 7990388664, 720, 0, 8000000000
128, 7990388664, 720, 0, 8000000000
129, 7990388664, 720, 0, 8000000000
130, 7990388664, 720, 0, 8000000000
131, 7990388664, 720, 0, 8000000000
132, 7990388664, 720, 0, 8000000000
133, 7990388664, 720, 0, 8000000000
134, 7990388664, 720, 0, 8000000000
135, 7990388664, 720, 0, 8000000000
136, 7990388664, 720, 0, 8000000000
137, 7990388664, 720, 0, 8000000000
138, 7990388664, 720, 0, 8000000000
