Day, Cases, New Cases, Recovered, Population
0, 1, 0, 0, 10000000
1, 1, 0, 0, 10000000
2, 1, 0, 0, 10000000
3, 1, 0, 0, 10000000
4, 1, 0, 0, 10000000
5, 1, 0, 0, 10000000
6, 1, 0, 0, 10000000
7, 1, 0, 0, 10000000
8, 1, 0, 0, 10000000
9, 1, 0, 0, 10000000
10, 1, 0, 0, 10000000
11, 1, 0, 0, 10000000
12, 1, 0, 0, 10000000
13, 0, 0, 1, 10000000
14, 0, 0, 1, 10000000
15, 0, 0, 1, 10000000
16, 0, 0, 1, 10000000
17, 0, 0, 1, 10000000
18, 0, 0, 1, 10000000
19, 0, 0, 1, 10000000
20, 0, 0, 1, 10000000
21, 0, 0, 1, 10000000
22, 0, 0, 1, 10000000
23, 0, 0, 1, 10000000
24, 0, 0, 1, 10000000
25, 0, 0, 1, 10000000
26, 0, 0, 1, 10000000
27, 0, 0, 1, 10000000
28, 0, 0, 1, 10000000
29, 0, 0, 1, 10000000
30, 0, 0, 1, 10000000
31, 0, 0, 1, 10000000
32, 0, 0, 1, 10000000
33, 0, 0, 1, 10000000
34, 0, 0, 1, 10000000
35, 0, 0, 1, 10000000
36, 0, 0, 1, 10000000
37, 0, 0, 1, 10000000
38, 0, 0, 1, 10000000
39, 0, 0, 1, 10000000
40, 0, 0, 1, 10000000
41, 0, 0, 1, 10000000
42, 0, 0, 1, 10000000
43, 0, 0, 1, 10000000
44, 0, 0, 1, 10000000
45, 0, 0, 1, 10000000
46, 0, 0, 1, 10000000
47, 0, 0, 1, 10000000
48, 0, 0, 1, 10000000
49, 0, 0, 1, 10000000
50, 0, 0, 1, 10000000
51, 0, 0, 1, 10000000
52, 0, 0, 1, 10000000
53, 0, 0, 1, 10000000
54, 0, 0, 1, 10000000
55, 0, 0, 1, 10000000
56, 0, 0, 1, 10000000
57, 0, 0, 1, 10000000
58, 0, 0, 1, 10000000
59, 0, 0, 1, 10000000
60, 0, 0, 1, 10000000
61, 0, 0, 1, 10000000
62, 0, 0, 1, 10000000
63, 0, 0, 1, 10000000
64, 0, 0, 1, 10000000
65, 0, 0, 1, 10000000
66, 0, 0, 1, 10000000
67, 0, 0, 1, 10000000
68, 0, 0, 1, 10000000
69, 0, 0, 1, 10000000
70, 0, 0, 1, 10000000
71, 0, 0, 1, 10000000
72, 0, 0, 1, 10000000
73, 0, 0, 1, 10000000
74, 0, 0, 1, 10000000
75, 0, 0, 1, 10000000
76, 0, 0, 1, 10000000
77, 0, 0, 1, 10000000
78, 0, 0, 1, 10000000
79, 0, 0, 1, 10000000
80, 0, 0, 1, 10000000
81, 0, 0, 1, 10000000
82, 0, 0, 1, 10000000
83, 0, 0, 1, 10000000
84, 0, 0, 1, 10000000
85, 0, 0, 1, 10000000
86, 0, 0, 1, 10000000
87, 0, 0, 1, 10000000
88, 0, 0, 1, 10000000
89, 0, 0, 1, 10000000
90, 0, 0, 1, 10000000
91, 0, 0, 1, 10000000
92, 0, 0, 1, 10000000
93, 0, 0, 1, 10000000
94, 0, 0, 1, 10000000
95, 0, 0, 1, 10000000
96, 0, 0, 1, 10000000
97, 0, 0, 1, 10000000
98, 0, 0, 1, 10000000
99, 0, 0, 1, 10000000
100, 0, 0, 1, 10000000
101, 0, 0, 1, 10000000
102, 0, 0, 1, 10000000
103, 0, 0, 1, 10000000
104, 0, 0, 1, 10000000
105, 0, 0, 1, 10000000
106, 0, 0, 1, 10000000
107, 0, 0, 1, 10000000
108, 0, 0, 1, 10000000
109, 0, 0, 1, 10000000
110, 0, 0, 1, 10000000
111, 0, 0, 1, 10000000
112, 0, 0, 1, 10000000
113, 0, 0, 1, 10000000
114, 0, 0, 1, 10000000
115, 0, 0, 1, 10000000
116, 0, 0, 1, 10000000
117, 0, 0, 1, 10000000
118, 0, 0, 1, 10000000
119, 0, 0, 1, 10000000
120, 0, 0, 1, 10000000
121, 0, 0, 1, 10000000
122, 0, 0, 1, 10000000
123, 0, 0, 1, 10000000
124, 0, 0, 1, 10000000
125, 0, 0, 1, 10000000
126, 0, 0, 1, 10000000
127, 0, 0, 1, 10000000
128, 0, 0, 1, 10000000
129, 0, 0, 1, 10000000
130, 0, 0, 1, 10000000
131, 0, 0, 1, 10000000
132, 0, 0, 1, 10000000
133, 0, 0, 1, 10000000
134, 0, 0, 1, 10000000
135, 0, 0, 1, 10000000
136, 0, 0, 1, 10000000
137, 0, 0, 1, 10000000
138, 0, 0, 1, 10000000
139, 0, 0, 1, 10000000
140, 0, 0, 1, 10000000
141, 0, 0, 1, 10000000
142, 0, 0, 1, 10000000
143, 0, 0, 1, 10000000
144, 0, 0, 1, 10000000
145, 0, 0, 1, 10000000
146, 0, 0, 1, 10000000
147, 0, 0, 1, 10000000
148, 0, 0, 1, 10000000
149, 0, 0, 1, 10000000
150, 0, 0, 1, 10000000
151, 0, 0, 1, 10000000
152, 0, 0, 1, 10000000
153, 0, 0, 1, 10000000
154, 0, 0, 1, 10000000
155, 0, 0, 1, 10000000
156, 0, 0, 1, 10000000
157, 0, 0, 1, 10000000
