Day, Cases, New Cases, Recovered, Population
0, 109, 9, 0, 10000000
1, 119, 10, 0, 10000000
2, 129, 10, 0, 10000000
3, 140, 11, 0, 10000000
4, 152, 12, 0, 10000000
5, 166, 14, 0, 10000000
6, 181, 15, 0, 10000000
7, 197, 16, 0, 10000000
8, 215, 18, 0, 10000000
9, 234, 19, 0, 10000000
10, 255, 21, 0, 10000000
11, 278, 23, 0, 10000000
12, 303, 25, 0, 10000000
13, 230, 27, 100, 10000000
14, 242, 21, 109, 10000000
15, 254, 22, 119, 10000000
16, 267, 23, 129, 10000000
17, 280, 24, 140, 10000000
18, 293, 25, 152, 10000000
19, 306, 27, 166, 10000000
20, 319, 28, 181, 10000000
21, 332, 29, 197, 10000000
22, 344, 30, 215, 10000000
23, 356, 31, 234, 10000000
24, 367, 32, 255, 10000000
25, 377, 33, 278, 10000000
26, 386, 34, 303, 10000000
27, 394, 35, 330, 10000000
28, 409, 36, 351, 10000000
29, 424, 37, 373, 10000000
30, 440, 39, 396, 10000000
31, 456, 40, 420, 10000000
32, 473, 42, 445, 10000000
33, 489, 43, 472, 10000000
34, 506, 45, 500, 10000000
35, 523, 46, 529, 10000000
36, 541, 48, 559, 10000000
37, 559, 49, 590, 10000000
38, 578, 51, 622, 10000000
39, 598, 53, 655, 10000000
40, 619, 55, 689, 10000000
41, 641, 57, 724, 10000000
42, 664, 59, 760, 10000000
43, 688, 61, 797, 10000000
44, 712, 63, 836, 10000000
45, 737, 65, 876, 10000000
46, 763, 68, 918, 10000000
47, 790, 70, 961, 10000000
48, 817, 72, 1006, 10000000
49, 846, 75, 1052, 10000000
50, 876, 78, 1100, 10000000
51, 907, 80, 1149, 10000000
52, 939, 83, 1200, 10000000
53, 972, 86, 1253, 10000000
54, 1006, 89, 1308, 10000000
55, 1041, 92, 1365, 10000000
56, 1078, 96, 1424, 10000000
57, 1116, 99, 1485, 10000000
58, 1155, 102, 1548, 10000000
59, 1196, 106, 1613, 10000000
60, 1238, 110, 1681, 10000000
61, 1282, 114, 1751, 10000000
62, 1328, 118, 1823, 10000000
63, 1375, 122, 1898, 10000000
64, 1423, 126, 1976, 10000000
65, 1474, 131, 2056, 10000000
66, 1526, 135, 2139, 10000000
67, 1580, 140, 2225, 10000000
68, 1636, 145, 2314, 10000000
69, 1694, 150, 2406, 10000000
70, 1754, 156, 2502, 10000000
71, 1816, 161, 2601, 10000000
72, 1881, 167, 2703, 10000000
73, 1948, 173, 2809, 10000000
74, 2017, 179, 2919, 10000000
75, 2089, 186, 3033, 10000000
76, 2163, 192, 3151, 10000000
77, 2240, 199, 3273, 10000000
78, 2320, 206, 3399, 10000000
79, 2402, 213, 3530, 10000000
80, 2488, 221, 3665, 10000000
81, 2577, 229, 3805, 10000000
82, 2669, 237, 3950, 10000000
83, 2765, 246, 4100, 10000000
84, 2863, 254, 4256, 10000000
85, 2966, 264, 4417, 10000000
86, 3072, 273, 4584, 10000000
87, 3182, 283, 4757, 10000000
88, 3296, 293, 4936, 10000000
89, 3413, 303, 5122, 10000000
90, 3535, 314, 5314, 10000000
91, 3661, 325, 5513, 10000000
92, 3792, 337, 5719, 10000000
93, 3928, 349, 5932, 10000000
94, 4069, 362, 6153, 10000000
95, 4215, 375, 6382, 10000000
96, 4366, 388, 6619, 10000000
97, 4522, 402, 6865, 10000000
98, 4684, 416, 7119, 10000000
99, 4851, 431, 7383, 10000000
100, 5025, 447, 7656, 10000000
101, 5205, 463, 7939, 10000000
102, 5391, 479, 8232, 10000000
103, 5584, 496, 8535, 10000000
104, 5784, 514, 8849, 10000000
105, 5991, 532, 9174, 10000000
106, 6206, 552, 9511, 10000000
107, 6428, 571, 9860, 10000000
108, 6658, 592, 10222, 10000000
109, 6896, 613, 10597, 10000000
110, 7143, 635, 10985, 10000000
111, 7399, 658, 11387, 10000000
112, 7664, 681, 11803, 10000000
113, 7938, 705, 12234, 10000000
114, 8222, 731, 12681, 10000000
115, 8516, 757, 13144, 10000000
116, 8821, 784, 13623, 10000000
117, 9137, 812, 14119, 10000000
118, 9464, 841, 14633, 10000000
119, 9803, 871, 15165, 10000000
120, 10153, 902, 15717, 10000000
121, 10516, 934, 16288, 10000000
