Day, Total Cases, Active Cases, New Cases, Population
0, 299, 278, 17, 8000000000
1, 315, 273, 16, 8000000000
2, 331, 269, 16, 8000000000
3, 347, 265, 16, 8000000000
4, 362, 260, 15, 8000000000
5, 377, 255, 15, 8000000000
6, 392, 250, 15, 8000000000
7, 406, 242, 14, 8000000000
8, 420, 232, 14, 8000000000
9, 433, 219, 13, 8000000000
10, 445, 205, 12, 8000000000
11, 456, 189, 11, 8000000000
12, 466, 172, 10, 8000000000
13, 475, 153, 9, 8000000000
14, 484, 154, 9, 8000000000
15, 493, 154, 9, 8000000000
16, 502, 153, 9, 8000000000
17, 511, 151, 9, 8000000000
18, 520, 148, 9, 8000000000
19, 528, 143, 8, 8000000000
20, 536, 137, 8, 8000000000
21, 544, 131, 8, 8000000000
22, 551, 124, 7, 8000000000
23, 558, 117, 7, 8000000000
24, 564, 109, 6, 8000000000
25, 570, 101, 6, 8000000000
26, 575, 92, 5, 8000000000
27, 580, 83, 5, 8000000000
28, 584, 73, 4, 8000000000
29, 588, 68, 4, 8000000000
30, 591, 62, 3, 8000000000
31, 594, 56, 3, 8000000000
32, 597, 50, 3, 8000000000
33, 598, 42, 1, 8000000000
34, 600, 36, 2, 8000000000
35, 601, 29, 1, 8000000000
36, 602, 23, 1, 8000000000
37, 602, 17, 0, 8000000000
38, 603, 13, 1, 8000000000
39, 603, 9, 0, 8000000000
40, 603, 6, 0, 8000000000
41, 603, 4, 0, 8000000000
42, 603, 2, 0, 8000000000
43, 603, 1, 0, 8000000000
44, 603, 1, 0, 8000000000
45, 603, 0, 0, 8000000000
46, 603, 0, 0, 8000000000
47, 603, 0, 0, 8000000000
48, 603, 0, 0, 8000000000
49, 603, 0, 0, 8000000000
50, 603, 0, 0, 8000000000
51, 603, 0, 0, 8000000000
52, 603, 0, 0, 8000000000
53, 603, 0, 0, 8000000000
54, 603, 0, 0, 8000000000
55, 603, 0, 0, 8000000000
56, 603, 0, 0, 8000000000
57, 603, 0, 0, 8000000000
58, 603, 0, 0, 8000000000
59, 603, 0, 0, 8000000000
60, 603, 0, 0, 8000000000
61, 603, 0, 0, 8000000000
62, 603, 0, 0, 8000000000
63, 603, 0, 0, 8000000000
64, 603, 0, 0, 8000000000
65, 603, 0, 0, 8000000000
66, 603, 0, 0, 8000000000
67, 603, 0, 0, 8000000000
68, 603, 0, 0, 8000000000
69, 603, 0, 0, 8000000000
