Day, Total Cases, Active Cases, New Cases, Population
0, 10, 9, 0, 8000000000
1, 12, 10, 2, 8000000000
2, 14, 11, 2, 8000000000
3, 15, 11, 1, 8000000000
4, 15, 10, 0, 8000000000
5, 16, 10, 1, 8000000000
6, 16, 9, 0, 8000000000
7, 17, 9, 1, 8000000000
8, 18, 8, 1, 8000000000
9, 19, 6, 1, 8000000000
10, 19, 4, 0, 8000000000
11, 21, 6, 2, 8000000000
12, 21, 5, 0, 8000000000
13, 22, 6, 1, 8000000000
14, 22, 5, 0, 8000000000
15, 22, 4, 0, 8000000000
16, 23, 4, 1, 8000000000
17, 23, 4, 0, 8000000000
18, 23, 3, 0, 8000000000
19, 23, 2, 0, 8000000000
20, 23, 1, 0, 8000000000
21, 23, 1, 0, 8000000000
22, 23, 1, 0, 8000000000
23, 23, 0, 0, 8000000000
24, 23, 0, 0, 8000000000
25, 23, 0, 0, 8000000000
26, 23, 0, 0, 8000000000
27, 23, 0, 0, 8000000000
28, 23, 0, 0, 8000000000
29, 23, 0, 0, 8000000000
30, 23, 0, 0, 8000000000
31, 23, 0, 0, 8000000000
32, 23, 0, 0, 8000000000
33, 23, 0, 0, 8000000000
34, 23, 0, 0, 8000000000
35, 23, 0, 0, 8000000000
36, 23, 0, 0, 8000000000
37, 23, 0, 0, 8000000000
38, 23, 0, 0, 8000000000
39, 23, 0, 0, 8000000000
40, 23, 0, 0, 8000000000
41, 23, 0, 0, 8000000000
42, 23, 0, 0, 8000000000
43, 23, 0, 0, 8000000000
44, 23, 0, 0, 8000000000
45, 23, 0, 0, 8000000000
46, 23, 0, 0, 8000000000
47, 23, 0, 0, 8000000000
48, 23, 0, 0, 8000000000
49, 23, 0, 0, 8000000000
50, 23, 0, 0, 8000000000
51, 23, 0, 0, 8000000000
52, 23, 0, 0, 8000000000
53, 23, 0, 0, 8000000000
54, 23, 0, 0, 8000000000
55, 23, 0, 0, 8000000000
56, 23, 0, 0, 8000000000
57, 23, 0, 0, 8000000000
58, 23, 0, 0, 8000000000
59, 23, 0, 0, 8000000000
60, 23, 0, 0, 8000000000
61, 23, 0, 0, 8000000000
62, 23, 0, 0, 8000000000
63, 23, 0, 0, 8000000000
64, 23, 0, 0, 8000000000
65, 23, 0, 0, 8000000000
66, 23, 0, 0, 8000000000
67, 23, 0, 0, 8000000000
68, 23, 0, 0, 8000000000
69, 23, 0, 0, 8000000000
70, 23, 0, 0, 8000000000
71, 23, 0, 0, 8000000000
72, 23, 0, 0, 8000000000
