Day, Total Cases, Active Cases, New Cases, Population
0, 312, 292, 30, 8000000000
1, 343, 303, 31, 8000000000
2, 375, 315, 32, 8000000000
3, 409, 329, 34, 8000000000
4, 444, 344, 35, 8000000000
5, 481, 361, 37, 8000000000
6, 520, 380, 39, 8000000000
7, 561, 399, 41, 8000000000
8, 604, 418, 43, 8000000000
9, 649, 437, 45, 8000000000
10, 696, 456, 47, 8000000000
11, 745, 475, 49, 8000000000
12, 796, 494, 51, 8000000000
13, 849, 513, 53, 8000000000
14, 906, 554, 57, 8000000000
15, 968, 597, 62, 8000000000
16, 1034, 641, 66, 8000000000
17, 1105, 687, 71, 8000000000
18, 1181, 735, 76, 8000000000
19, 1262, 785, 81, 8000000000
20, 1349, 838, 87, 8000000000
21, 1442, 895, 93, 8000000000
22, 1541, 956, 99, 8000000000
23, 1647, 1022, 106, 8000000000
24, 1760, 1092, 113, 8000000000
25, 1881, 1167, 121, 8000000000
26, 2010, 1247, 129, 8000000000
27, 2148, 1332, 138, 8000000000
28, 2295, 1422, 147, 8000000000
29, 2452, 1518, 157, 8000000000
30, 2620, 1621, 168, 8000000000
31, 2799, 1730, 179, 8000000000
32, 2990, 1846, 191, 8000000000
33, 3194, 1969, 204, 8000000000
34, 3412, 2100, 218, 8000000000
35, 3644, 2239, 232, 8000000000
36, 3892, 2387, 248, 8000000000
37, 4156, 2543, 264, 8000000000
38, 4437, 2709, 281, 8000000000
39, 4736, 2885, 299, 8000000000
40, 5055, 3072, 319, 8000000000
41, 5394, 3270, 339, 8000000000
42, 5755, 3480, 361, 8000000000
43, 6140, 3704, 385, 8000000000
44, 6549, 3941, 409, 8000000000
45, 6984, 4192, 435, 8000000000
46, 7447, 4458, 463, 8000000000
47, 7939, 4740, 492, 8000000000
48, 8462, 5038, 523, 8000000000
49, 9018, 5354, 556, 8000000000
50, 9609, 5689, 591, 8000000000
51, 10237, 6044, 628, 8000000000
52, 10904, 6419, 667, 8000000000
53, 11612, 6815, 708, 8000000000
54, 12363, 7233, 751, 8000000000
55, 13160, 7675, 797, 8000000000
56, 14006, 8143, 846, 8000000000
57, 14903, 8637, 897, 8000000000
58, 15855, 9160, 952, 8000000000
59, 16864, 9713, 1009, 8000000000
60, 17934, 10298, 1070, 8000000000
61, 19068, 10916, 1134, 8000000000
62, 20270, 11570, 1202, 8000000000
63, 21544, 12261, 1274, 8000000000
64, 22894, 12991, 1350, 8000000000
65, 24324, 13762, 1430, 8000000000
66, 25839, 14577, 1515, 8000000000
67, 27443, 15438, 1604, 8000000000
68, 29142, 16348, 1699, 8000000000
69, 30941, 17310, 1799, 8000000000
70, 32845, 18325, 1904, 8000000000
71, 34861, 19398, 2016, 8000000000
72, 36995, 20531, 2134, 8000000000
73, 39253, 21727, 2258, 8000000000
74, 41642, 22990, 2389, 8000000000
75, 44170, 24324, 2528, 8000000000
76, 46844, 25732, 2674, 8000000000
77, 49673, 27219, 2829, 8000000000
78, 52665, 28789, 2992, 8000000000
79, 55829, 30447, 3164, 8000000000
80, 59175, 32198, 3346, 8000000000
81, 62714, 34048, 3539, 8000000000
82, 66456, 36002, 3742, 8000000000
83, 70412, 38064, 3956, 8000000000
84, 74594, 40241, 4182, 8000000000
85, 79015, 42540, 4421, 8000000000
86, 83689, 44968, 4674, 8000000000
87, 88629, 47531, 4940, 8000000000
88, 93850, 50237, 5221, 8000000000
89, 99368, 53094, 5518, 8000000000
90, 105200, 56111, 5832, 8000000000
91, 111363, 59297, 6163, 8000000000
92, 117876, 62662, 6513, 8000000000
93, 124758, 66215, 6882, 8000000000
94, 132030, 69967, 7272, 8000000000
95, 139714, 73929, 7684, 8000000000
96, 147833, 78112, 8119, 8000000000
97, 156411, 82529, 8578, 8000000000
98, 165473, 87192, 9062, 8000000000
99, 175047, 92115, 9574, 8000000000
100, 185161, 97313, 10114, 8000000000
101, 195846, 102802, 10685, 8000000000
102, 207133, 108597, 11287, 8000000000
103, 219056, 114716, 11923, 8000000000
104, 231651, 121177, 12595, 8000000000
105, 244955, 127998, 13304, 8000000000
106, 259007, 135199, 14052, 8000000000
107, 273849, 142801, 14842, 8000000000
108, 289525, 150826, 15676, 8000000000
109, 306082, 159298, 16557, 8000000000
110, 323569, 168243, 17487, 8000000000
111, 342037, 177686, 18468, 8000000000
112, 361541, 187655, 19504, 8000000000
113, 382139, 198180, 20598, 8000000000
114, 403892, 209291, 21753, 8000000000
115, 426864, 221021, 22972, 8000000000
116, 451123, 233404, 24259, 8000000000
117, 476741, 246476, 25618, 8000000000
118, 503793, 260275, 27052, 8000000000
119, 532359, 274842, 28566, 8000000000
120, 562523, 290219, 30164, 8000000000
121, 594374, 306452, 31851, 8000000000
122, 628006, 323589, 33632, 8000000000
123, 663518, 341680, 35512, 8000000000
124, 701015, 360778, 37497, 8000000000
125, 740607, 380938, 39592, 8000000000
126, 782411, 402220, 41804, 8000000000
127, 826550, 424686, 44139, 8000000000
128, 873153, 448401, 46603, 8000000000
129, 922358, 473435, 49205, 8000000000
130, 974309, 499861, 51951, 8000000000
131, 1029159, 527757, 54850, 8000000000
132, 1087069, 557204, 57910, 8000000000
133, 1148209, 588288, 61140, 8000000000
134, 1212759, 621101, 64550, 8000000000
135, 1280908, 655738, 68149, 8000000000
136, 1352857, 692301, 71949, 8000000000
137, 1428816, 730896, 75959, 8000000000
138, 1509009, 771637, 80193, 8000000000
139, 1593670, 814642, 84661, 8000000000
140, 1683048, 860037, 89378, 8000000000
141, 1777405, 907955, 94357, 8000000000
142, 1877018, 958537, 99613, 8000000000
143, 1982178, 1011929, 105160, 8000000000
144, 2093194, 1068288, 111016, 8000000000
145, 2210390, 1127777, 117196, 8000000000
146, 2334110, 1190571, 123720, 8000000000
147, 2464716, 1256853, 130606, 8000000000
148, 2602590, 1326816, 137874, 8000000000
149, 2748136, 1400664, 145546, 8000000000
150, 2901779, 1478612, 153643, 8000000000
151, 3063969, 1560888, 162190, 8000000000
152, 3235179, 1647730, 171210, 8000000000
153, 3415910, 1739392, 180731, 8000000000
154, 3606690, 1836141, 190780, 8000000000
155, 3808076, 1938258, 201386, 8000000000
156, 4020656, 2046040, 212580, 8000000000
157, 4245050, 2159801, 224394, 8000000000
158, 4481913, 2279871, 236863, 8000000000
159, 4731935, 2406599, 250022, 8000000000
160, 4995846, 2540354, 263911, 8000000000
161, 5274414, 2681523, 278568, 8000000000
162, 5568451, 2830516, 294037, 8000000000
163, 5878813, 2987765, 310362, 8000000000
164, 6206403, 3153725, 327590, 8000000000
165, 6552174, 3328877, 345771, 8000000000
166, 6917132, 3513729, 364958, 8000000000
167, 7302337, 3708815, 385205, 8000000000
168, 7708908, 3914699, 406571, 8000000000
169, 8138025, 4131975, 429117, 8000000000
170, 8590933, 4361270, 452908, 8000000000
171, 9068946, 4603245, 478013, 8000000000
172, 9573448, 4858597, 504502, 8000000000
173, 10105900, 5128060, 532452, 8000000000
174, 10667843, 5412409, 561943, 8000000000
175, 11260901, 5712460, 593058, 8000000000
176, 11886788, 6029073, 625887, 8000000000
177, 12547310, 6363155, 660522, 8000000000
178, 13244372, 6715662, 697062, 8000000000
179, 13979982, 7087600, 735610, 8000000000
180, 14756258, 7480030, 776276, 8000000000
181, 15575432, 7894070, 819174, 8000000000
182, 16439856, 8330896, 864424, 8000000000
183, 17352010, 8791748, 912154, 8000000000
184, 18314508, 9277932, 962498, 8000000000
185, 19330103, 9790822, 1015595, 8000000000
186, 20401698, 10331866, 1071595, 8000000000
187, 21532351, 10902588, 1130653, 8000000000
188, 22725283, 11504591, 1192932, 8000000000
189, 23983888, 12139563, 1258605, 8000000000
190, 25311740, 12809280, 1327852, 8000000000
191, 26712604, 13515610, 1400864, 8000000000
192, 28190443, 14260516, 1477839, 8000000000
193, 29749430, 15046063, 1558987, 8000000000
194, 31393959, 15874424, 1644529, 8000000000
195, 33128654, 16747880, 1734695, 8000000000
196, 34958381, 17668829, 1829727, 8000000000
197, 36888260, 18639790, 1929879, 8000000000
198, 38923678, 19663409, 2035418, 8000000000
199, 41070300, 20742463, 2146622, 8000000000
200, 43334083, 21879865, 2263783, 8000000000
201, 45721291, 23078674, 2387208, 8000000000
202, 48238508, 24342098, 2517217, 8000000000
203, 50892652, 25673499, 2654144, 8000000000
204, 53690991, 27076400, 2798339, 8000000000
205, 56641159, 28554492, 2950168, 8000000000
206, 59751171, 30111640, 3110012, 8000000000
207, 63029441, 31751890, 3278270, 8000000000
208, 66484798, 33479473, 3455357, 8000000000
209, 70126504, 35298813, 3641706, 8000000000
210, 73964270, 37214532, 3837766, 8000000000
211, 78008276, 39231456, 4044006, 8000000000
212, 82269188, 41354621, 4260912, 8000000000
213, 86758178, 43589280, 4488990, 8000000000
214, 91486942, 45940907, 4728764, 8000000000
215, 96467717, 48415200, 4980775, 8000000000
216, 101713301, 51018087, 5245584, 8000000000
217, 107237073, 53755730, 5523772, 8000000000
218, 113053010, 56634529, 5815937, 8000000000
219, 119175704, 59661122, 6122694, 8000000000
220, 125620380, 62842385, 6444676, 8000000000
221, 132402914, 66185436, 6782534, 8000000000
222, 139539848, 69697632, 7136934, 8000000000
223, 147048405, 73386568, 7508557, 8000000000
224, 154946500, 77260068, 7898095, 8000000000
225, 163252756, 81326186, 8306256, 8000000000
226, 171986512, 85593195, 8733756, 8000000000
227, 181167831, 90069576, 9181319, 8000000000
228, 190817505, 94764008, 9649674, 8000000000
229, 200957058, 99685349, 10139553, 8000000000
230, 211608746, 104842621, 10651688, 8000000000
231, 222795553, 110244989, 11186807, 8000000000
232, 234541182, 115901732, 11745629, 8000000000
233, 246870043, 121822218, 12328861, 8000000000
234, 259807234, 128015868, 12937191, 8000000000
235, 273378519, 134492118, 13571285, 8000000000
236, 287610299, 141260379, 14231780, 8000000000
237, 302529575, 148329986, 14919276, 8000000000
238, 318163905, 155710145, 15634330, 8000000000
239, 334541354, 163409874, 16377449, 8000000000
240, 351690433, 171437936, 17149079, 8000000000
241, 369640033, 179802768, 17949600, 8000000000
242, 388419344, 188512400, 18779311, 8000000000
243, 408057770, 197574373, 19638426, 8000000000
244, 428584827, 206995640, 20527057, 8000000000
245, 450030037, 216782472, 21445210, 8000000000
246, 472422802, 226940346, 22392765, 8000000000
247, 495792274, 237473832, 23369472, 8000000000
248, 520167206, 248386472, 24374932, 8000000000
249, 545575797, 259680654, 25408591, 8000000000
250, 572045519, 271357476, 26469722, 8000000000
251, 599602934, 283416607, 27557415, 8000000000
252, 628273501, 295856147, 28670567, 8000000000
